MAC Address,Device Name
24:ce:33:24:b5:cb,Amazon Plug
7c:f6:66:1f:a8:b6,HBN Plug
90:48:6c:06:8f:74,Ring Doorbell
b0:73:9c:e6:9a:b9,Blink Mini Camera
64:16:66:49:3e:cb,Nest Camera
50:8a:06:4b:c5:c7,Lumiman Bulb
d8:0d:17:33:c2:52,Kasa Bulb
d0:73:d5:12:8e:30,Lifx bulb
e4:5f:01:c3:64:86,RPi Emulated Bulb
34:ab:95:f6:82:94,Ultraloq Smart Lock
34:6f:92:1d:ba:50,Sensi Thermostat
cc:a7:c1:62:cc:aa,Nest Smoke & CO Detector
70:74:14:c0:db:f0,Rachio Sprinkler Controller
d0:c5:d3:90:54:73,Roomba Robot
e6:ce:94:c8:64:43,Pixel 6 Phone
